Subject	PreVacc	InitialVacc	BoosterVacc	BoosterResponseVacc
14393	3.5	0	2.16	6.33
14395	8.5	5.33	3.5	4.83
14399	4.5	4.16	0	4.83
14403	4.83	3.5	2.83	5.16
14405	4.5	3.16	0	1.83
14407	6.5	5.5	4.5	2.16
14409	4.16	3.5	0	7.16
14411	4.5	3.5	2.5	2.83
14413	5.5	4.5	4.16	2.5
14415	5.5	3.66	NA	1.83
14419	4.16	3.16	3.16	5.83
14421	8.33	6.5	3.5	2.83
14423	5.5	4.83	3.5	2.5
14425	4.16	2.5	0	5.83
14427	7.33	4.16	4.83	5.16
14429	7.5	5.5	5.16	4.16
14431	5.5	3.83	3.5	2.5
14433	4.83	2.5	2.16	3.5
14435	6.16	3.66	3.5	4.5
14437	4.5	2.83	2.16	8.16
14439	5.5	1.83	0	6.33
14447	3.83	2.83	1.83	3.5
14457	2.16	0	2.16	NA
14459	4.66	2.83	3.16	2.83
14461	5.83	3.83	5.5	2.83
14467	6.16	3.5	2.5	3.83
14471	5.66	5.83	2.83	3.16
14475	6.5	5.83	5.16	5.5
14477	3.16	2.83	0	5.5
14479	5.5	4.83	4.16	1.83
14481	5.83	5.5	4.5	2.5
14483	0	0	0	8.66
